ingredient_name,ingredient_id,nafdac_url,page_scraped,ingredient_name_clean,is_combination,component_count,components
"Amlodipine,Valsartan,Hydrochlorthiazide",2338,https://greenbook.nafdac.gov.ng/ingredient/products/2338,3,"Amlodipine, Valsartan, Hydrochlorthiazide",True,3,Amlodipine | Valsartan | Hydrochlorthiazide
Ammonium bicarb.; Ammonium chloride; Ammonium soln; Oleic acid; Turpentine oil,1138,https://greenbook.nafdac.gov.ng/ingredient/products/1138,3,Ammonium bicarb.; Ammonium chloride; Ammonium soln; Oleic acid; Turpentine oil,True,5,Ammonium bicarb. | Ammonium chloride | Ammonium soln | Oleic acid | Turpentine oil
"AMMONIUM CHLORIDE, CHLORPHENIRAMINE MALEATE",2348,https://greenbook.nafdac.gov.ng/ingredient/products/2348,3,"AMMONIUM CHLORIDE, CHLORPHENIRAMINE MALEATE",True,2,AMMONIUM CHLORIDE | CHLORPHENIRAMINE
"AMMONIUM CHLORIDE, DIPHENHYDRAMINE HCL, SODIUM CITRATE, MENTHOL",2299,https://greenbook.nafdac.gov.ng/ingredient/products/2299,3,"AMMONIUM CHLORIDE, DIPHENHYDRAMINE HCL, SODIUM CITRATE, MENTHOL",True,4,AMMONIUM CHLORIDE | DIPHENHYDRAMINE | MENTHOL
Ammonium chloride; Ipecacacuanha Extract; Liquorice Extract; Peppermint Oil; Aniseed Oil,1629,https://greenbook.nafdac.gov.ng/ingredient/products/1629,3,Ammonium chloride; Ipecacacuanha Extract; Liquorice Extract; Peppermint Oil; Aniseed Oil,True,5,Ammonium chloride | Ipecacacuanha Extract | Liquorice Extract | Peppermint Oil | Aniseed Oil
Ammonium Chloride; Ipecacuanha Liquid Extract ;  Liquorice Extract ; Peppermint Oil; Aniseed Oil,2056,https://greenbook.nafdac.gov.ng/ingredient/products/2056,3,Ammonium Chloride; Ipecacuanha Liquid Extract; Liquorice Extract; Peppermint Oil; Aniseed Oil,True,5,Ammonium Chloride | Ipecacuanha Liquid Extract | Liquorice Extract | Peppermint Oil | Aniseed Oil
Ammonium chloride; Ipecacuanha; Liquorice,1074,https://greenbook.nafdac.gov.ng/ingredient/products/1074,3,Ammonium chloride; Ipecacuanha; Liquorice,True,3,Ammonium chloride | Ipecacuanha | Liquorice
Ammonium chloride; Ipecacuanha; Liquorice; Peppermint oil,1077,https://greenbook.nafdac.gov.ng/ingredient/products/1077,3,Ammonium chloride; Ipecacuanha; Liquorice; Peppermint oil,True,4,Ammonium chloride | Ipecacuanha | Liquorice | Peppermint oil
Ammonium Chloride; Sodium Citrate; Menthol,1812,https://greenbook.nafdac.gov.ng/ingredient/products/1812,3,Ammonium Chloride; Sodium Citrate; Menthol,True,3,Ammonium Chloride | Menthol
Ammonium chloride; Sodium citrate; Squill; Menthol,1082,https://greenbook.nafdac.gov.ng/ingredient/products/1082,3,Ammonium chloride; Sodium citrate; Squill; Menthol,True,4,Ammonium chloride | Squill | Menthol
