generic_name,generic_name_lower,source_ingredient,ingredient_id,is_combination,nafdac_url
DHA),dha),Omega 3 (EPA/DHA),2219,True,https://greenbook.nafdac.gov.ng/ingredient/products/2219
DI  Hydrogen,di  hydrogen,Sodium Hyaluronate; DI Sodium Hydrogen Phosphate Dihydrate; Monosodium Phosphate Monohydrate; Sodium Chloride,1697,True,https://greenbook.nafdac.gov.ng/ingredient/products/1697
Di Calcium,di calcium,Vitamin B1; Vitamin B2; Vitamin B6; Vitamin D3; Vitamin B12; Vitamin H B.P; Potassium Sulphate; Selenium Dioxide; Di Calcium phosphate; Magnesium Sulphate; Calcium Pantothenate; Ginseng,1836,True,https://greenbook.nafdac.gov.ng/ingredient/products/1836
Diagnostic Instrument,diagnostic instrument,Diagnostic Instrument,2162,False,https://greenbook.nafdac.gov.ng/ingredient/products/2162
Diallyl disulfide oxide,diallyl disulfide oxide,Pirfenidone; Diallyl disulfide oxide,1317,True,https://greenbook.nafdac.gov.ng/ingredient/products/1317
Diaphragm,diaphragm,Diaphragm,1006,False,https://greenbook.nafdac.gov.ng/ingredient/products/1006
Diastase,diastase,Diastase; Papain,1093,True,https://greenbook.nafdac.gov.ng/ingredient/products/1093
Diazepam,diazepam,Diazepam,4,False,https://greenbook.nafdac.gov.ng/ingredient/products/4
Dibasic,dibasic,Monobasic Sodium Phosphate; Dibasic Sodium Phosphate,1254,True,https://greenbook.nafdac.gov.ng/ingredient/products/1254
Dicalcium,dicalcium,Calcium Carbonate; Dicalcium Phosphate; Vitamin D3,1802,True,https://greenbook.nafdac.gov.ng/ingredient/products/1802
dichloroisocyanurate,dichloroisocyanurate,Sodium dichloroisocyanurate,906,False,https://greenbook.nafdac.gov.ng/ingredient/products/906
Dichloroxylenol,dichloroxylenol,Castor oil; Pine oil; Dichloroxylenol,1817,True,https://greenbook.nafdac.gov.ng/ingredient/products/1817
Diclofenac,diclofenac,Diclofenac Potassium,1125,False,https://greenbook.nafdac.gov.ng/ingredient/products/1125
Diclofenac Cholestryamine,diclofenac cholestryamine,Diclofenac Cholestryamine,1905,False,https://greenbook.nafdac.gov.ng/ingredient/products/1905
Diclofenac Diethylamine,diclofenac diethylamine,"Diclofenac Diethylamine (Diclofenac Sodium), Linseed Oil, Methyl Salicylate, Menthol, Benzyl Alcohol",2189,True,https://greenbook.nafdac.gov.ng/ingredient/products/2189
Diclofenac Diethylammonium,diclofenac diethylammonium,Diclofenac Diethylammonium; Linseed Oil; Methylsalicyclate; Menthol,1917,True,https://greenbook.nafdac.gov.ng/ingredient/products/1917
Diclofenac free acid,diclofenac free acid,Diclofenac free acid,1126,False,https://greenbook.nafdac.gov.ng/ingredient/products/1126
